ID;TARGET
85529;0
85530;0
85531;0
85532;0
85533;0
85534;0
85535;0
85536;1
85537;0
85538;0
85539;0
85540;0
85541;1
85542;0
85543;1
85544;0
85545;0
85546;0
85547;0
85548;0
85549;1
85550;0
85551;0
85552;0
85553;0
85554;0
85555;0
85556;0
85557;0
85558;1
85559;0
85560;1
85561;0
85562;1
85563;0
85564;0
85565;0
85566;0
85567;0
85568;0
85569;0
85570;0
85571;0
85572;0
85573;1
85574;1
85575;0
85576;0
85577;0
85578;1
85579;1
85580;0
85581;0
85582;1
85583;0
85584;0
85585;0
85586;0
85587;0
85588;0
85589;0
85590;0
85591;0
85592;0
85593;0
85594;0
85595;0
85596;1
85597;0
85598;0
85599;0
85600;1
85601;0
85602;1
85603;0
85604;1
85605;0
85606;0
85607;1
85608;0
85609;0
85610;0
85611;0
85612;1
85613;0
85614;1
85615;0
85616;0
85617;1
85618;0
85619;0
85620;0
85621;0
85622;0
85623;0
85624;1
85625;0
85626;0
85627;1
85628;0
85629;0
85630;0
85631;0
85632;0
85633;1
85634;0
85635;1
85636;0
85637;0
85638;1
85639;0
85640;0
85641;0
85642;0
85643;0
85644;0
85645;0
85646;1
85647;0
85648;1
85649;0
85650;0
85651;0
85652;0
85653;0
85654;1
85655;0
85656;0
85657;1
85658;0
85659;1
85660;0
85661;0
85662;0
85663;0
85664;0
85665;0
85666;1
85667;0
85668;1
85669;0
85670;0
85671;0
85672;0
85673;0
85674;0
85675;0
85676;0
85677;0
85678;1
85679;0
85680;0
85681;0
85682;0
85683;1
85684;0
85685;0
85686;0
85687;0
85688;0
85689;0
85690;0
85691;0
85692;1
85693;0
85694;1
85695;0
85696;1
85697;0
85698;0
85699;0
85700;0
85701;0
85702;0
85703;0
85704;0
85705;0
85706;0
85707;0
85708;0
85709;0
85710;0
85711;0
85712;1
85713;0
85714;0
85715;1
85716;0
85717;0
85718;0
85719;0
85720;1
85721;1
85722;0
85723;0
85724;0
85725;0
85726;1
85727;0
85728;0
85729;1
85730;0
85731;0
85732;0
85733;1
85734;1
85735;0
85736;0
85737;0
85738;0
85739;0
85740;0
85741;0
85742;0
85743;0
85744;0
85745;0
85746;1
85747;0
85748;0
85749;1
85750;0
85751;0
85752;0
85753;0
85754;0
85755;1
85756;1
85757;0
85758;0
85759;0
85760;1
85761;0
85762;0
85763;0
85764;1
85765;1
85766;0
85767;0
85768;0
85769;0
85770;0
85771;1
85772;0
85773;0
85774;0
85775;1
85776;0
85777;0
85778;0
85779;0
85780;0
85781;0
85782;1
85783;0
85784;0
85785;0
85786;0
85787;0
85788;0
85789;1
85790;0
85791;1
85792;0
85793;1
85794;0
85795;0
85796;0
85797;0
85798;0
85799;0
85800;0
85801;0
85802;0
85803;0
85804;0
85805;1
85806;0
85807;0
85808;0
85809;0
85810;0
85811;1
85812;0
85813;0
85814;1
85815;0
85816;0
85817;1
85818;0
85819;0
85820;1
85821;0
85822;0
85823;0
85824;0
85825;0
85826;0
85827;0
85828;0
85829;0
85830;1
85831;0
85832;1
85833;1
85834;0
85835;0
85836;0
85837;1
85838;0
85839;0
85840;0
85841;0
85842;0
85843;0
85844;0
85845;1
85846;1
85847;0
85848;1
85849;0
85850;1
85851;0
85852;1
85853;0
85854;1
85855;1
85856;0
85857;0
85858;0
85859;0
85860;1
85861;0
85862;1
85863;0
85864;1
85865;0
85866;0
85867;0
85868;0
85869;0
85870;0
85871;1
85872;0
85873;0
85874;0
85875;0
85876;0
85877;0
85878;0
85879;0
85880;1
85881;1
85882;0
85883;0
85884;1
85885;0
85886;0
85887;0
85888;0
85889;1
85890;0
85891;0
85892;0
85893;0
85894;0
85895;0
85896;0
85897;0
85898;0
85899;0
85900;0
85901;0
85902;0
85903;0
85904;0
85905;0
85906;0
85907;0
85908;0
85909;0
85910;0
85911;0
85912;0
85913;1
85914;0
85915;0
85916;0
85917;0
85918;0
85919;1
85920;0
85921;0
85922;1
85923;1
85924;0
85925;0
85926;0
85927;1
85928;0
85929;0
85930;0
85931;0
85932;0
85933;1
85934;1
85935;0
85936;0
85937;0
85938;0
85939;0
85940;1
85941;0
85942;0
85943;0
85944;0
85945;0
85946;0
85947;1
85948;0
85949;1
85950;0
85951;0
85952;0
85953;0
85954;0
85955;0
85956;0
85957;0
85958;0
85959;0
85960;0
85961;1
85962;1
85963;0
85964;0
85965;0
85966;0
85967;0
85968;0
85969;0
85970;1
85971;0
85972;0
85973;0
85974;1
85975;0
85976;1
85977;1
85978;0
85979;0
85980;0
85981;0
85982;0
85983;0
85984;0
85985;0
85986;0
85987;1
85988;1
85989;0
85990;1
85991;0
85992;1
85993;0
85994;0
85995;0
85996;0
85997;1
85998;1
85999;0
86000;0
86001;1
86002;1
86003;0
86004;0
86005;0
86006;0
86007;0
86008;0
86009;0
86010;0
86011;0
86012;0
86013;0
86014;0
86015;0
86016;0
86017;0
86018;0
86019;0
86020;0
86021;0
86022;0
86023;1
86024;1
86025;0
86026;1
86027;0
86028;0
86029;0
86030;0
86031;0
86032;0
86033;1
86034;1
86035;1
86036;0
86037;0
86038;1
86039;0
86040;0
86041;1
86042;0
86043;0
86044;1
86045;0
86046;0
86047;0
86048;1
86049;0
86050;0
86051;1
86052;0
86053;0
86054;0
86055;0
86056;0
86057;0
86058;0
86059;0
86060;0
86061;0
86062;0
86063;1
86064;0
86065;1
86066;0
86067;0
86068;0
86069;1
86070;1
86071;1
86072;1
86073;0
86074;1
86075;0
86076;1
86077;0
86078;0
86079;0
86080;0
86081;0
86082;1
86083;0
86084;0
86085;0
86086;0
86087;0
86088;0
86089;1
86090;0
86091;0
86092;0
86093;0
86094;1
86095;0
86096;1
86097;0
86098;0
86099;0
86100;0
86101;0
86102;0
86103;0
86104;0
86105;1
86106;0
86107;0
86108;1
86109;0
86110;0
86111;0
86112;0
86113;0
86114;0
86115;1
86116;1
86117;0
86118;1
86119;1
86120;0
86121;0
86122;0
86123;0
86124;0
86125;0
86126;0
86127;1
86128;0
86129;0
86130;1
86131;1
86132;0
86133;0
86134;0
86135;1
86136;0
86137;0
86138;0
86139;0
86140;0
86141;0
86142;0
86143;0
86144;0
86145;0
86146;0
86147;1
86148;0
86149;0
86150;0
86151;0
86152;0
86153;1
86154;0
86155;0
86156;0
86157;0
86158;1
86159;0
86160;1
86161;1
86162;0
86163;0
86164;0
86165;1
86166;0
86167;0
86168;0
86169;0
86170;0
86171;0
86172;0
86173;1
86174;0
86175;0
86176;1
86177;1
86178;1
86179;0
86180;1
86181;0
86182;0
86183;0
86184;0
86185;0
86186;1
86187;1
86188;0
86189;0
86190;0
86191;1
86192;1
86193;1
86194;0
86195;0
86196;1
86197;0
86198;0
86199;0
86200;0
86201;0
86202;0
86203;1
86204;1
86205;0
86206;0
86207;0
86208;0
86209;0
86210;0
86211;0
86212;0
86213;1
86214;0
86215;0
86216;0
86217;1
86218;1
86219;0
86220;0
86221;1
86222;0
86223;0
86224;0
86225;1
86226;0
86227;1
86228;0
86229;1
86230;0
86231;0
86232;0
86233;0
86234;0
86235;0
86236;0
86237;0
86238;0
86239;1
86240;1
86241;0
86242;0
86243;0
86244;0
86245;0
86246;0
86247;0
86248;0
86249;0
86250;1
86251;1
86252;1
86253;1
86254;0
86255;0
86256;0
86257;0
86258;0
86259;0
86260;0
86261;0
86262;0
86263;0
86264;0
86265;0
86266;0
86267;1
86268;0
86269;0
86270;0
86271;0
86272;0
86273;0
86274;0
86275;0
86276;0
86277;0
86278;1
86279;0
86280;0
86281;0
86282;0
86283;0
86284;0
86285;0
86286;0
86287;0
86288;0
86289;1
86290;1
86291;0
86292;1
86293;0
86294;1
86295;0
86296;0
86297;0
86298;1
86299;0
86300;1
86301;0
86302;0
86303;0
86304;0
86305;0
86306;0
86307;0
86308;0
86309;1
86310;0
86311;0
86312;0
86313;0
86314;0
86315;1
86316;0
86317;0
86318;0
86319;0
86320;0
86321;0
86322;1
86323;0
86324;1
86325;0
86326;0
86327;0
86328;1
86329;1
86330;0
86331;0
86332;1
86333;0
86334;1
86335;0
86336;1
86337;0
86338;0
86339;0
86340;0
86341;0
86342;0
86343;0
86344;1
86345;0
86346;0
86347;1
86348;1
86349;0
86350;0
86351;1
86352;0
86353;1
86354;0
86355;1
86356;1
86357;1
86358;0
86359;1
86360;1
86361;0
86362;1
86363;0
86364;0
86365;0
86366;0
86367;0
86368;0
86369;1
86370;0
86371;1
86372;0
86373;0
86374;0
86375;0
86376;0
86377;0
86378;0
86379;1
86380;0
86381;0
86382;0
86383;1
86384;1
86385;0
86386;0
86387;0
86388;1
86389;0
86390;0
86391;1
86392;0
86393;1
86394;0
86395;0
86396;1
86397;0
86398;0
86399;0
86400;1
86401;0
86402;0
86403;0
86404;0
86405;0
86406;0
86407;0
86408;0
86409;1
86410;0
86411;0
86412;0
86413;0
86414;1
86415;0
86416;0
86417;1
86418;0
86419;0
86420;1
86421;0
86422;0
86423;0
86424;0
86425;0
86426;0
86427;1
86428;1
86429;0
86430;0
86431;1
86432;1
86433;0
86434;0
86435;0
86436;0
86437;0
86438;0
86439;1
86440;0
86441;0
86442;1
86443;0
86444;0
86445;0
86446;0
86447;0
86448;0
86449;0
86450;0
86451;0
86452;0
86453;1
86454;0
86455;0
86456;0
86457;0
